,Name,Month,Last,High,Low,Chg.,Chg. %,Time
,Gold derived,Aug 24,"2,352.10","2,355.70","2,334.85",+6.30,+0.27%,09:10:08
,XAU/USD,,"2,331.66","2,335.22","2,314.80",+4.27,+0.18%,09:10:26
,Silver derived,Jul 24,30.605,30.795,29.942,+0.165,+0.54%,09:09:30
,XAG/USD,,30.4455,30.6325,29.7795,+0.0330,+0.11%,09:10:17
,Copper derived,Jul 24,4.6723,4.6772,4.5962,+0.0703,+1.53%,09:09:44
,Platinum derived,Jul 24,"1,034.40","1,055.70","1,030.20",-7.60,-0.73%,09:09:45
,Palladium derived,Sep 24,924.00,926.50,903.00,+11.10,+1.22%,09:10:20
,Crude Oil WTI derived,Jul 24,76.64,77.52,76.40,-0.35,-0.45%,09:09:33
,Brent Oil derived,Aug 24,80.79,81.66,80.70,-0.32,-0.39%,09:09:40
,Natural Gas derived,Jul 24,2.755,2.799,2.649,+0.168,+6.49%,09:09:42
,Heating Oil derived,Jul 24,2.3749,2.4000,2.3679,-0.0093,-0.39%,09:10:01
,Gasoline RBOB derived,Jul 24,2.4076,2.4400,2.4064,-0.0098,-0.41%,09:10:32
,London Gas Oil derived,Jun 24,729.88,736.38,727.38,-2.62,-0.36%,09:09:24
,Aluminium derived,,"2,689.00","2,690.00","2,643.00",+36.50,+1.38%,09:09:44
,Zinc derived,,"2,991.50","2,997.50","2,942.50",+22.00,+0.74%,09:10:33
,Nickel derived,,"19,622.50","19,724.50","19,340.50",-87.50,-0.44%,09:10:37
,Copper derived,,"10,158.50","10,176.50","10,062.00",+118.50,+1.18%,09:10:33
,US Wheat derived,Jul 24,697.00,697.60,667.00,+19.00,+2.80%,09:03:09
,Rough Rice derived,Jul 24,17.635,17.750,17.635,-0.035,-0.20%,02/06
,US Corn derived,Jul 24,448.50,448.90,442.88,+2.50,+0.56%,09:00:00
,US Soybeans derived,Jul 24,"1,197.25","1,205.50","1,191.00",-7.75,-0.64%,09:02:10
,US Soybean Oil derived,Jul 24,45.12,45.51,44.80,-0.40,-0.88%,09:09:51
,US Soybean Meal derived,Jul 24,362.65,364.70,360.35,-2.05,-0.56%,09:09:52
,US Cotton #2 derived,Jul 24,75.03,76.51,74.84,-1.12,-1.47%,09:10:34
,US Cocoa derived,Jul 24,"9,838.50","9,918.50","9,188.00",+507.50,+5.44%,09:10:06
,US Coffee C derived,Jul 24,228.28,228.38,220.75,+5.93,+2.67%,09:10:28
,London Coffee derived,Jul 24,"4,293.00","4,304.00","4,115.00",+175.00,+4.25%,09:10:38
,US Sugar #11 derived,Jul 24,18.52,18.61,18.21,+0.22,+1.20%,09:09:22
,Orange Juice derived,Jul 24,457.20,457.20,436.45,+20.00,+4.57%,08:52:00
,Live Cattle,Jun 24,181.55,182.60,181.18,-1.00,-0.55%,31/05
,Lean Hogs,Jun 24,94.35,94.60,93.58,+0.38,+0.40%,31/05
,Feeder Cattle derived,Aug 24,256.38,264.91,255.82,-2.69,-1.04%,31/05
,Lumber,Jul 24,508.00,517.50,506.00,-10.00,-1.93%,31/05
,Oats derived,,380.30,390.10,377.30,-7.50,-1.93%,08:44:48
